Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернет,Контактный телефон,Адрес,Долгота,Широта
Дом иконы,Музеи,None,None,None,None,None,None,None,http://www.dom-icony.ru/,None,Спиридоновка ул.+++ д.4,55.758575,37.5962972
Дом книги на ВДНХ,Выставочные центры,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,http://www.knigi516.ru/,None,Проспект Мира+++ 119+++ павильон № 516,55.8300333,37.6200639
Дом Н. В. Гоголя - мемориальный музей и научная библиотека,Музеи,12.00-19.00,None,12.00-19.00,14.00-21.00,12.00-19.00,12.00-18.00,12.00-18.00,http://www.domgogolya.ru/,8 (495) 695-92-56,Никитский бульвар д.7а,55.75415,37.5998111
Дом русского зарубежья имени Александра Солженицына,Музеи,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,None,None,http://www.bfrz.ru/,8 (495) 915-10-73+++ 8 (495) 915-10-80,Нижняя Радищевская ул.+++ д. 2,55.7429389,37.6516194
Дом-музей А.И.Герцена,Музеи,None,11.00-18.00,11.00-18.00,13.00-20.00,11.00-18.00,11.00-18.00,11.00-18.00,http://www.goslitmuz.ru/ru/herzen-museum,8 (499) 241-58-59,Сивцев Вражек пер.+++ д. 27,55.7470972,37.5917278
Дом-музей А.Н.Островского,Музеи,None,None,13.00-21.00,13.00-21.00,11.00-19.00,13.00-21.00,11.00-19.00,http://www.gctm.ru/,8 (495) 953-86-84+++ 8 (495) 951-11-40,Малая Ордынка ул.+++ д. 9,55.7388,37.6263194
Дом-музей А.Н.Толстого,Музеи,None,11.00-18.00,13.00-20.00,14.00-21.00,13.00-20.00,11.00-18.00,11.00-18.00,http://museum-tolstoy.ru/,8 (495) 690-09-56,Спиридоновка+++ 4,55.758625,37.5966111
Дом-музей А.П.Чехова,Музеи,None,11.00-18.00,11.00-18.00,14.00-20.00,11.00-18.00,11.00-18.00,11.00-18.00,http://www.goslitmuz.ru/ru/chekhov-museum,8 (495) 691-38-37,Садовая-Кудринская ул.+++ д. 6,55.76015,37.5859944
Дом-музей академика П. Л. Капицы,Музеи,None,None,None,None,None,None,None,None,8 (499) 137- 32-30,Косыгина ул.+++ д.2 стр. 20,55.7099694,37.5734306
Дом-музей Булата Окуджавы в Переделкино,Музеи,None,None,None,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,http://www.okudjava.ru/,8 (495) 593-52-08+++  8 (495) 731-77-27,Переделкино+++  ул. Довженко+++ дом 11,55.6503028,37.3175306
Дом-музей В.Л. Пушкина на Старой Басманной,Музеи,None,None,10.00-18.00,12.00-21.00,10.00-18.00,10.00-18.00,10.00-18.00,http://www.pushkinmuseum.ru/?q=node/2,8 (499) 263-10-57,Старая Басманная ул.+++ 36,55.7690278,37.6689833
Дом-музей Ермоловой,Музеи,None,None,12.00-19.00,13.00-21.00,12.00-19.00,12.00-19.00,12.00-19.00,http://bakhrushin.theatre.ru/branches/dme/,8 (495) 690-54-16+++ 8 (495) 690-49-01,Тверской б-р+++ 11+++,55.7598472,37.5995111
Дом-музей М. Ю. Лермонтова,Музеи,None,None,None,None,None,None,None,http://www.goslitmuz.ru/ru/lervontov-museum,8 (495) 691-52-98,Малая Молчановка ул.+++ д. 2,55.7535306,37.5942389
Дом-музей Марины Цветаевой,Музеи,None,12.00-18.00,12.00-18.00,12.00-21.00,12.00-18.00,12.00-18.00,12.00-18.00,http://www.dommuseum.ru/,8 (495) 695-35-43+++  8 (495) 697-53-69,Борисоглебский пер.+++ д. 6.,55.7768222,37.5962111
